Date,Country,State,Disease,Symptoms,Cases,Severity_Score,Risk_Level,Hospital_Visits
2025-12-18,Germany,Hamburg,Dengue,"headache, joint pain, high fever",174,18,High,31
2026-03-31,Germany,Hamburg,Skin Infection,"skin rash, redness, itching",213,12,Moderate,87
2025-08-06,Canada,Quebec,Asthma,"chest tightness, breathing difficulty",163,9,Moderate,155
2025-08-05,India,Punjab,Dengue,"high fever, joint pain, skin rash",228,20,High,55
2025-07-22,India,Delhi,Diabetes,"frequent urination, weight loss, fatigue, increased thirst",399,9,Moderate,26
2026-03-03,USA,California,Respiratory Infection,"breathing issue, cough",455,16,High,116
2025-10-25,USA,Texas,Migraine,"headache, sensitivity to light",306,5,Low,41
2025-07-23,India,Rajasthan,Typhoid,"weakness, fever, loss of appetite",124,11,Moderate,115
2025-07-05,USA,Florida,Typhoid,"fever, loss of appetite, weakness",29,10,Moderate,7
2025-09-20,USA,Florida,Respiratory Infection,"fever, cough, breathing issue, sore throat",408,16,High,301
2025-05-27,India,Tamil Nadu,Diabetes,"frequent urination, fatigue",467,16,High,403
2026-03-18,USA,Texas,COVID-19,"cough, loss of smell, fever",495,19,High,276
2025-09-09,USA,New York,Respiratory Infection,"sore throat, cough, breathing issue",426,5,Low,390
2025-06-09,Germany,Bavaria,Respiratory Infection,"fever, sore throat, cough, breathing issue",100,6,Low,39
2025-12-23,Germany,Hamburg,COVID-19,"loss of smell, breathing difficulty",400,16,High,326
2025-11-13,Germany,Berlin,Typhoid,"abdominal pain, loss of appetite, fever",24,14,Moderate,16
2025-07-10,Canada,Quebec,Diabetes,"increased thirst, fatigue",460,6,Low,429
2025-11-10,Canada,Ontario,Malaria,"fatigue, sweating",49,17,High,44
2025-06-30,Germany,Hamburg,Typhoid,"weakness, fever, loss of appetite, abdominal pain",105,16,High,25
2026-02-11,Canada,Alberta,Malaria,"chills, sweating",56,16,High,26
2026-03-04,India,Tamil Nadu,Skin Infection,"itching, redness",231,17,High,23
2026-01-16,India,Karnataka,Typhoid,"loss of appetite, abdominal pain",348,6,Low,77
2026-05-22,USA,New York,Typhoid,"abdominal pain, loss of appetite",390,10,Moderate,310
2026-01-22,Canada,Quebec,Malaria,"fever, chills, sweating, fatigue",310,17,High,207
2026-01-30,Canada,Alberta,Typhoid,"weakness, loss of appetite, fever, abdominal pain",66,16,High,11
2026-03-05,India,Uttar Pradesh,Respiratory Infection,"sore throat, fever, breathing issue",127,20,High,19
2025-08-15,Canada,Alberta,Flu,"cough, body pain, runny nose",439,16,High,325
2025-10-28,Canada,Ontario,COVID-19,"breathing difficulty, loss of smell, fever",82,9,Moderate,5
2026-02-13,Germany,Hamburg,Skin Infection,"itching, redness, skin rash, swelling",67,14,Moderate,14
2026-01-31,India,Karnataka,Diabetes,"frequent urination, weight loss",428,19,High,299
